"LibraryName","SampleID","SRA_Accession","Amplicon","Site","Cultivar","Compartment","Replicate","Time","TreeID"
"1-VBS-LI-LE-5","C_Liberty_Leaf_5","SRR28147100","16S","C","Liberty","Leaf",5,"May","C_Liberty_5"
"1-VBS-LI-LE-5","C_Liberty_Leaf_5","SRR28148312","ITS","C","Liberty","Leaf",5,"May","C_Liberty_5"
"1-VBS-PR-FL-1","C_Paulared_Flower_1","SRR28147098","16S","C","Paulared","Flower",1,"May","C_Paulared_1"
"1-VBS-PR-FL-1","C_Paulared_Flower_1","SRR28148290","ITS","C","Paulared","Flower",1,"May","C_Paulared_1"
"1-VBS-PR-FL-2","C_Paulared_Flower_2","SRR28147097","16S","C","Paulared","Flower",2,"May","C_Paulared_2"
"1-VBS-PR-FL-2","C_Paulared_Flower_2","SRR28148289","ITS","C","Paulared","Flower",2,"May","C_Paulared_2"
"1-VBS-PR-FL-3","C_Paulared_Flower_3","SRR28147096","16S","C","Paulared","Flower",3,"May","C_Paulared_3"
"1-VBS-PR-FL-3","C_Paulared_Flower_3","SRR28148288","ITS","C","Paulared","Flower",3,"May","C_Paulared_3"
"1-VBS-PR-FL-4","C_Paulared_Flower_4","SRR28147095","16S","C","Paulared","Flower",4,"May","C_Paulared_4"
"1-VBS-PR-FL-4","C_Paulared_Flower_4","SRR28148287","ITS","C","Paulared","Flower",4,"May","C_Paulared_4"
"1-VBS-PR-FL-5","C_Paulared_Flower_5","SRR28147094","16S","C","Paulared","Flower",5,"May","C_Paulared_5"
"1-VBS-PR-FL-5","C_Paulared_Flower_5","SRR28148286","ITS","C","Paulared","Flower",5,"May","C_Paulared_5"
"1-VBS-PR-LE-1","C_Paulared_Leaf_1","SRR28147093","16S","C","Paulared","Leaf",1,"May","C_Paulared_1"
"1-VBS-PR-LE-1","C_Paulared_Leaf_1","SRR28148285","ITS","C","Paulared","Leaf",1,"May","C_Paulared_1"
"1-VBS-PR-LE-2","C_Paulared_Leaf_2","SRR28147092","16S","C","Paulared","Leaf",2,"May","C_Paulared_2"
"1-VBS-PR-LE-2","C_Paulared_Leaf_2","SRR28148284","ITS","C","Paulared","Leaf",2,"May","C_Paulared_2"
"1-VBS-PR-LE-3","C_Paulared_Leaf_3","SRR28147091","16S","C","Paulared","Leaf",3,"May","C_Paulared_3"
"1-VBS-PR-LE-3","C_Paulared_Leaf_3","SRR28148283","ITS","C","Paulared","Leaf",3,"May","C_Paulared_3"
"1-VBS-PR-LE-4","C_Paulared_Leaf_4","SRR28147090","16S","C","Paulared","Leaf",4,"May","C_Paulared_4"
"1-VBS-PR-LE-4","C_Paulared_Leaf_4","SRR28148282","ITS","C","Paulared","Leaf",4,"May","C_Paulared_4"
