"SampleID","Shannon","Shannon_SD","LibraryName","SRA_Accession","Amplicon","Site","Cultivar","Compartment","Replicate","Time","TreeID"
"SRR28148399",3.1385672811943,0.016535217679992,"2-VBS-CL-LE-1","SRR28148399","ITS","C","Cortland","Leaf",1,"July","C_Cortland_1"
"SRR28148401",2.12395875383257,0.0187105953475989,"1-PMB-CL-LE-1","SRR28148401","ITS","B","Cortland","Leaf",1,"May","B_Cortland_1"
"SRR28148408",3.11669679975324,0.0167062964356046,"1-ASB-PR-LE-5","SRR28148408","ITS","A","Paulared","Leaf",5,"May","A_Paulared_5"
"SRR28148409",3.3589505940964,0.0168054201560938,"1-ASB-PR-LE-4","SRR28148409","ITS","A","Paulared","Leaf",4,"May","A_Paulared_4"
"SRR28148410",3.43077095297994,0.0181084902363364,"1-ASB-PR-LE-3","SRR28148410","ITS","A","Paulared","Leaf",3,"May","A_Paulared_3"
"SRR28148411",3.50584441407516,0.0195969370134526,"1-ASB-PR-LE-2","SRR28148411","ITS","A","Paulared","Leaf",2,"May","A_Paulared_2"
"SRR28148412",3.32964526482974,0.0176109720710527,"1-ASB-PR-LE-1","SRR28148412","ITS","A","Paulared","Leaf",1,"May","A_Paulared_1"
"SRR28148419",3.04072515457892,0.0114561681550694,"1-ASB-LI-LE-4","SRR28148419","ITS","A","Liberty","Leaf",4,"May","A_Liberty_4"
"SRR28148421",2.65369638233347,0.0163697463163398,"3-VBS-PR-LE-5","SRR28148421","ITS","C","Paulared","Leaf",5,"August","C_Paulared_5"
"SRR28148422",2.94041523613904,0.0144141805226071,"1-ASB-LI-LE-5","SRR28148422","ITS","A","Liberty","Leaf",5,"May","A_Liberty_5"
"SRR28148423",2.93605691839262,0.0134373119630746,"3-VBS-PR-LE-3","SRR28148423","ITS","C","Paulared","Leaf",3,"August","C_Paulared_3"
"SRR28148424",1.97571750665356,0.0129258904329523,"2-PMB-PR-LE-4","SRR28148424","ITS","B","Paulared","Leaf",4,"July","B_Paulared_4"
"SRR28148425",2.36854979912188,0.0129417871750904,"2-PMB-PR-LE-5","SRR28148425","ITS","B","Paulared","Leaf",5,"July","B_Paulared_5"
"SRR28148426",2.89721554337274,0.0136677228746019,"2-VBS-CL-LE-2","SRR28148426","ITS","C","Cortland","Leaf",2,"July","C_Cortland_2"
"SRR28148427",2.82458263939709,0.0149927261144382,"3-VBS-PR-LE-2","SRR28148427","ITS","C","Paulared","Leaf",2,"August","C_Paulared_2"
"SRR28148428",1.71677873132866,0.0166966875213686,"2-PMB-PR-LE-3","SRR28148428","ITS","B","Paulared","Leaf",3,"July","B_Paulared_3"
"SRR28148429",1.6730146256994,0.0201859136404817,"2-PMB-PR-LE-2","SRR28148429","ITS","B","Paulared","Leaf",2,"July","B_Paulared_2"
"SRR28148430",1.99621199648554,0.020415309197503,"2-PMB-PR-LE-1","SRR28148430","ITS","B","Paulared","Leaf",1,"July","B_Paulared_1"
"SRR28148431",1.86326887599017,0.014473355827187,"2-PMB-LI-LE-4","SRR28148431","ITS","B","Liberty","Leaf",4,"July","B_Liberty_4"
"SRR28148432",2.26897069620607,0.0166076260329589,"2-PMB-LI-LE-3","SRR28148432","ITS","B","Liberty","Leaf",3,"July","B_Liberty_3"
"SRR28148433",2.58620968787325,0.014066285869725,"2-PMB-LI-LE-2","SRR28148433","ITS","B","Liberty","Leaf",2,"July","B_Liberty_2"
"SRR28148434",1.93083519247478,0.0195454301110849,"2-PMB-LI-LE-5","SRR28148434","ITS","B","Liberty","Leaf",5,"July","B_Liberty_5"
"SRR28148435",2.14031109399018,0.0170268766240426,"2-PMB-LI-LE-1","SRR28148435","ITS","B","Liberty","Leaf",1,"July","B_Liberty_1"
"SRR28148437",1.84284087021207,0.0176422210831256,"2-PMB-CL-LE-5","SRR28148437","ITS","B","Cortland","Leaf",5,"July","B_Cortland_5"
"SRR28148438",1.67961119566525,0.0185027887268382,"2-PMB-CL-LE-4","SRR28148438","ITS","B","Cortland","Leaf",4,"July","B_Cortland_4"
"SRR28148439",2.15137628423249,0.0142793993765242,"2-PMB-CL-LE-2","SRR28148439","ITS","B","Cortland","Leaf",2,"July","B_Cortland_2"
"SRR28148440",2.00980618676981,0.0164877126840254,"2-PMB-CL-LE-1","SRR28148440","ITS","B","Cortland","Leaf",1,"July","B_Cortland_1"
"SRR28148441",1.92601173322825,0.0158604947884361,"2-ASB-PR-LE-5","SRR28148441","ITS","A","Paulared","Leaf",5,"July","A_Paulared_5"
"SRR28148442",2.02194126463786,0.0146651558674265,"2-PMB-CL-LE-3","SRR28148442","ITS","B","Cortland","Leaf",3,"July","B_Cortland_3"
"SRR28148443",1.9057099782197,0.0168518238347945,"2-ASB-PR-LE-4","SRR28148443","ITS","A","Paulared","Leaf",4,"July","A_Paulared_4"
"SRR28148444",1.65261216352796,0.0141196785171924,"2-ASB-PR-LE-3","SRR28148444","ITS","A","Paulared","Leaf",3,"July","A_Paulared_3"
"SRR28148445",1.81491771158207,0.0163789487092883,"2-ASB-PR-LE-2","SRR28148445","ITS","A","Paulared","Leaf",2,"July","A_Paulared_2"
"SRR28148446",1.84222368635745,0.0146305590351418,"2-ASB-PR-LE-1","SRR28148446","ITS","A","Paulared","Leaf",1,"July","A_Paulared_1"
